image,model,gt_count,pred_count,true_positives,false_negatives,false_positives,splits,merges,precision,recall,f1_score,PQ,RQ,SQ
cell_00001.tiff,unet,15,20,4,11,16,0,3,0.2,0.26666666666666666,0.2285714285714286,0.20132694244384766,0.22857142857142856,0.8808053731918335
cell_00001.tiff,nnunet,15,10,6,9,4,0,3,0.6,0.4,0.48,0.3583410930633545,0.48,0.7465439438819885
cell_00001.tiff,sac,15,139,3,12,136,0,0,0.02158273381294964,0.2,0.03896103896103897,0.022149526453637457,0.03896103896103896,0.5685045123100281
cell_00001.tiff,lstmunet,15,43,6,9,37,0,0,0.13953488372093023,0.4,0.2068965517241379,0.16470588486770105,0.20689655172413793,0.7960784435272217
cell_00001.tiff,maunet_resnet50,15,12,9,6,3,0,0,0.75,0.6,0.6666666666666665,0.5236526330312092,0.6666666666666666,0.785478949546814
cell_00001.tiff,maunet_wide,15,17,9,6,8,0,0,0.5294117647058824,0.6,0.5625,0.4464562386274338,0.5625,0.7936999797821045
cell_00001.tiff,maunet_ensemble,15,11,7,8,4,0,2,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.47074800729751587,0.5384615384615384,0.8742462992668152
cell_00002.png,unet,58,66,28,30,38,0,5,0.42424242424242425,0.4827586206896552,0.45161290322580644,0.39664273492751584,0.45161290322580644,0.8782803416252136
cell_00002.png,nnunet,58,123,29,29,94,0,4,0.23577235772357724,0.5,0.3204419889502762,0.2767720782295775,0.32044198895027626,0.8637197613716125
cell_00002.png,sac,58,0,0,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00002.png,lstmunet,58,230,34,24,196,0,5,0.14782608695652175,0.5862068965517241,0.23611111111111113,0.17617750416199365,0.2361111111111111,0.746163547039032
cell_00002.png,maunet_resnet50,58,59,39,19,20,0,3,0.6610169491525424,0.6724137931034483,0.6666666666666666,0.5954224665959675,0.6666666666666666,0.8931336998939514
cell_00002.png,maunet_wide,58,53,34,24,19,0,3,0.6415094339622641,0.5862068965517241,0.6126126126126126,0.5517405819248509,0.6126126126126126,0.9006353616714478
cell_00002.png,maunet_ensemble,58,41,38,20,3,0,3,0.926829268292683,0.6551724137931034,0.7676767676767676,0.6916732619507143,0.7676767676767676,0.9009954333305359
cell_00003.tiff,unet,25,33,12,13,21,0,2,0.36363636363636365,0.48,0.41379310344827586,0.3327671330550621,0.41379310344827586,0.8041872382164001
cell_00003.tiff,nnunet,25,22,14,11,8,0,2,0.6363636363636364,0.56,0.5957446808510639,0.47081237650932145,0.5957446808510638,0.7902922034263611
cell_00003.tiff,sac,25,86,0,25,86,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00003.tiff,lstmunet,25,69,9,16,60,0,0,0.13043478260869565,0.36,0.19148936170212763,0.12238318235316176,0.19148936170212766,0.6391121745109558
cell_00003.tiff,maunet_resnet50,25,21,12,13,9,0,0,0.5714285714285714,0.48,0.5217391304347826,0.36097473683564557,0.5217391304347826,0.691868245601654
cell_00003.tiff,maunet_wide,25,49,16,9,33,0,0,0.32653061224489793,0.64,0.43243243243243235,0.3423894933752112,0.43243243243243246,0.7917757034301758
cell_00003.tiff,maunet_ensemble,25,12,10,15,2,0,0,0.8333333333333334,0.4,0.5405405405405406,0.43687427366102066,0.5405405405405406,0.8082174062728882
cell_00004.png,unet,15,19,12,3,7,0,0,0.631578947368421,0.8,0.7058823529411765,0.605235730900484,0.7058823529411765,0.8574172854423523
cell_00004.png,nnunet,15,38,15,0,23,0,0,0.39473684210526316,1.0,0.5660377358490566,0.4985015347318829,0.5660377358490566,0.8806860446929932
cell_00004.png,sac,15,442,0,15,442,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00004.png,lstmunet,15,837,14,1,823,0,0,0.016726403823178016,0.9333333333333333,0.03286384976525821,0.02742525921181334,0.03286384976525822,0.8345114588737488
cell_00004.png,maunet_resnet50,15,17,15,0,2,0,0,0.8823529411764706,1.0,0.9375,0.8287268690764904,0.9375,0.8839753270149231
cell_00004.png,maunet_wide,15,18,15,0,3,0,0,0.8333333333333334,1.0,0.9090909090909091,0.8391400358893655,0.9090909090909091,0.923054039478302
cell_00004.png,maunet_ensemble,15,15,15,0,0,0,0,1.0,1.0,1.0,0.90274578332901,1.0,0.90274578332901
cell_00005.png,unet,28,35,27,1,8,0,0,0.7714285714285715,0.9642857142857143,0.8571428571428572,0.6854414769581386,0.8571428571428571,0.7996817231178284
cell_00005.png,nnunet,28,46,28,0,18,0,0,0.6086956521739131,1.0,0.7567567567567568,0.6318998594541808,0.7567567567567568,0.8350105285644531
cell_00005.png,sac,28,497,1,27,496,0,0,0.002012072434607646,0.03571428571428571,0.0038095238095238095,0.002357075327918643,0.0038095238095238095,0.6187322735786438
cell_00005.png,lstmunet,28,619,27,1,592,1,0,0.04361873990306947,0.9642857142857143,0.08346213292117466,0.07014520643667607,0.08346213292117466,0.84044349193573
cell_00005.png,maunet_resnet50,28,29,28,0,1,0,0,0.9655172413793104,1.0,0.9824561403508771,0.843870062577097,0.9824561403508771,0.8589391708374023
cell_00005.png,maunet_wide,28,29,28,0,1,0,0,0.9655172413793104,1.0,0.9824561403508771,0.8992274183976022,0.9824561403508771,0.915285050868988
cell_00005.png,maunet_ensemble,28,29,27,1,2,1,0,0.9310344827586207,0.9642857142857143,0.9473684210526316,0.8389348983764648,0.9473684210526315,0.8855423927307129
cell_00006.png,unet,42,85,14,28,71,0,3,0.16470588235294117,0.3333333333333333,0.2204724409448819,0.1755252766796923,0.2204724409448819,0.796132504940033
cell_00006.png,nnunet,42,124,16,26,108,0,3,0.12903225806451613,0.38095238095238093,0.19277108433734938,0.15468492852636131,0.1927710843373494,0.8024280667304993
cell_00006.png,sac,42,0,0,42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00006.png,lstmunet,42,385,11,31,374,0,1,0.02857142857142857,0.2619047619047619,0.051522248243559714,0.0362714875219019,0.05152224824355972,0.7039965987205505
cell_00006.png,maunet_resnet50,42,91,18,24,73,0,1,0.1978021978021978,0.42857142857142855,0.2706766917293233,0.2475722965441252,0.2706766917293233,0.9146420955657959
cell_00006.png,maunet_wide,42,69,20,22,49,0,3,0.2898550724637681,0.47619047619047616,0.36036036036036034,0.31533118840810415,0.36036036036036034,0.875044047832489
cell_00006.png,maunet_ensemble,42,26,21,21,5,0,2,0.8076923076923077,0.5,0.6176470588235294,0.5526778820682975,0.6176470588235294,0.8948118090629578
cell_00007.tiff,unet,25,29,3,22,26,0,7,0.10344827586206896,0.12,0.11111111111111112,0.08240215645896064,0.1111111111111111,0.7416194081306458
cell_00007.tiff,nnunet,25,31,13,12,18,0,1,0.41935483870967744,0.52,0.46428571428571425,0.3387726949793952,0.4642857142857143,0.7296642661094666
cell_00007.tiff,sac,25,146,0,25,146,0,1,0.0,0.0,0.0,0.0,0.0,0.0
cell_00007.tiff,lstmunet,25,143,9,16,134,0,1,0.06293706293706294,0.36,0.10714285714285716,0.07609534902232033,0.10714285714285714,0.7102232575416565
cell_00007.tiff,maunet_resnet50,25,33,12,13,21,0,1,0.36363636363636365,0.48,0.41379310344827586,0.27413155292642527,0.41379310344827586,0.6624845862388611
