Model,Arm,Metric,Baseline_Mean,Treatment_Mean,Difference,P_Value,Effect_Size,Significant,Significant_Bonferroni
nnunet,R+S@50,dice,0.13695539199416565,0.18036588301432321,0.043410491020157524,0.005163468914664929,0.1621125790329788,True,False
nnunet,R+S@50,iou,0.11246111935757076,0.15506485036121084,0.04260373100364009,0.0059145171237930646,0.1595195581901585,True,False
nnunet,R+S@50,precision,0.2574329702981257,0.3054377577589248,0.04800478746079916,0.005831588794369974,0.15979071008022494,True,False
nnunet,R+S@50,recall,0.5955444574675558,0.6236295339295507,0.02808507646199485,7.74137809942663e-07,0.2904626742013573,True,True
nnunet,R+S@50,f1,0.13695535301446002,0.18036583351016744,0.04341048049570742,0.005163488558079585,0.16211250684877915,True,False
nnunet,R+S@50,boundary_f1,0.2339926051773588,0.26923068226722274,0.03523807708986394,0.026262412546125755,0.12851118763008432,True,False
nnunet,R+S@50,hd95,85.08053595431393,91.26338377537898,6.182847821065051,0.0009323129883512785,0.1923827892142339,True,True
nnunet,R+S@25,dice,0.13695539199416565,0.15762952411419673,0.020674132120031087,0.2501228531887278,0.06630548963723608,False,False
nnunet,R+S@25,iou,0.11246111935757076,0.13662499909360878,0.024163879736038025,0.14192849764414925,0.0847325961939942,False,False
nnunet,R+S@25,precision,0.2574329702981257,0.3001280792992438,0.04269510900111815,0.012165722384805103,0.14515419639812294,True,False
nnunet,R+S@25,recall,0.5955444574675558,0.5836774995512374,-0.01186695791631848,0.3252386011755727,-0.056700795361920596,False,False
nnunet,R+S@25,f1,0.13695535301446002,0.15762948311209402,0.02067413009763401,0.25012292848811457,0.06630547907299297,False,False
nnunet,R+S@25,boundary_f1,0.2339926051773588,0.23788666793843752,0.0038940627610787224,0.8244751352550097,0.012773835557235543,False,False
nnunet,R+S@25,hd95,85.08053595431393,92.20404341006353,7.123507455749595,0.012288863734713159,0.14494586021701703,True,False
nnunet,S,dice,0.13695539199416565,0.023289941303510458,-0.1136654506906552,3.572101374305877e-12,-0.4170376712255067,True,True
nnunet,S,iou,0.11246111935757076,0.012140867710230801,-0.10032025164733996,1.4232434396915442e-10,-0.38231310269333035,True,True
nnunet,S,precision,0.2574329702981257,0.16245837216842632,-0.09497459812969937,1.484131599062396e-08,-0.3350283482820303,True,True
nnunet,S,recall,0.5955444574675558,0.5487500694691937,-0.0467943879983621,5.335774674086984e-08,-0.3211251946094551,True,True
nnunet,S,f1,0.13695535301446002,0.02328993947241417,-0.11366541354204582,3.5721645134851477e-12,-0.4170375094295588,True,True
nnunet,S,boundary_f1,0.2339926051773588,0.13598223940762874,-0.09801036576973005,3.1552209223644227e-09,-0.3512967701517156,True,True
nnunet,S,hd95,85.08053595431393,74.02287411940775,-11.057661834906192,3.841787435717187e-06,-0.2708347785045863,True,True
nnunet,R+S@10,dice,0.13695539199416565,0.19788914816946948,0.060933756175303826,0.0011255428329570026,0.189242390115512,True,True
nnunet,R+S@10,iou,0.11246111935757076,0.17790117765250427,0.06544005829493352,0.0004416982529932292,0.2044545514360032,True,True
nnunet,R+S@10,precision,0.2574329702981257,0.38178612065599077,0.12435315035786508,5.79151433675109e-08,0.3202192339132073,True,True
nnunet,R+S@10,recall,0.5955444574675558,0.6131225987566077,0.017578141289051857,0.0015162827866617022,0.18418691762944847,True,True
nnunet,R+S@10,f1,0.13695535301446002,0.19788908545556763,0.06093373244110762,0.001125551128429187,0.1892422664179735,True,True
nnunet,R+S@10,boundary_f1,0.2339926051773588,0.25268025446867814,0.018687649291319337,0.34086908040788455,0.05489397216418667,False,False
nnunet,R+S@10,hd95,85.08053595431393,82.54063616099285,-2.5398997933210765,0.324405104218112,-0.05679871653015204,False,False
